,Date,Latitude,Longitude,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
5714,2004-06-21,34,-101,1173602,5406919,TEXAS,48,Thunderstorm Wind,C,45,BRISCOE,LUB,CST,0,0,0,0,100K,,STORM CHASER,70.0,EG,,,,,,,,,,,Storm chaser reported 12 power poles snapped.  Several center pivot irrigation systems were destroyed.,PDS
5715,2004-06-02,36,-90,1173244,5405949,TENNESSEE,47,Hail,C,97,LAUDERDALE,MEG,CST,0,0,0,0,.1K,,TRAINED SPOTTER,1.0,,,,,,,,,,,,,PDS
5716,2004-06-02,36,-89,1173244,5405951,TENNESSEE,47,Hail,C,77,HENDERSON,MEG,CST,0,0,0,0,.01K,,TRAINED SPOTTER,0.75,,,,,,,,,,,,,PDS
5717,2004-06-02,36,-88,1173244,5405952,TENNESSEE,47,Hail,C,79,HENRY,MEG,CST,0,0,0,0,.05K,,EMERGENCY MANAGER,0.88,,,,,,,,,,,,,PDS
5718,2004-06-02,36,-88,1173244,5405953,TENNESSEE,47,Hail,C,79,HENRY,MEG,CST,0,0,0,0,.01K,,EMERGENCY MANAGER,0.75,,,,,,,,,,,,,PDS
5719,2004-06-02,36,-88,1173244,5406038,TENNESSEE,47,Thunderstorm Wind,C,77,HENDERSON,MEG,CST,0,0,0,0,5K,,EMERGENCY MANAGER,50.0,EG,,,,,,,,,,,A few trees were blown down.,PDS
5720,2004-06-02,36,-88,1173244,5406039,TENNESSEE,47,Hail,C,77,HENDERSON,MEG,CST,0,0,0,0,.01K,,EMERGENCY MANAGER,0.75,,,,,,,,,,,,,PDS
5721,2004-06-02,36,-89,1173244,5406040,TENNESSEE,47,Thunderstorm Wind,C,77,HENDERSON,MEG,CST,0,0,0,0,1K,,TRAINED SPOTTER,50.0,EG,,,,,,,,,,,A couple of trees were blown down.,PDS
5722,2004-06-02,36,-91,1173245,5406041,ARKANSAS,5,Hail,C,31,CRAIGHEAD,MEG,CST,0,0,0,0,.05K,,GENERAL PUBLIC,0.88,,,,,,,,,,,,,PDS
5723,2004-06-02,35,-90,1173245,5406042,ARKANSAS,5,Hail,C,35,CRITTENDEN,MEG,CST,0,0,0,0,.1K,,EMERGENCY MANAGER,0.88,,,,,,,,,,,,,PDS
